2023-04-12T14:41:08Z
 
Index No.     Position.x      Position.y      Position.z
479      -0.9002556      0.3439983      -0.7121592
479      -0.8977333      0.3452369      -0.7109875
479      -0.8952459      0.3466559      -0.7096485
479      -0.8925825      0.3480233      -0.7082133
479      -0.8898951      0.3494938      -0.7067351
479      -0.8871198      0.3509151      -0.7050613
479      -0.8816707      0.3541122      -0.701603
479      -0.8788214      0.3555841      -0.6998243
479      -0.8760446      0.3571912      -0.6979949
479      -0.8760446      0.3571912      -0.6979949
479      -0.8760446      0.3571912      -0.6979949
479      -0.8675929      0.36196      -0.6920774
479      -0.864704      0.3636599      -0.6899232
479      -0.8617259      0.3652398      -0.6875885
479      -0.8587111      0.3668984      -0.6851443
479      -0.852647      0.3700449      -0.6799759
