2023-05-29T17:05:39Z
 
Index_No.     Time_Stamp
492      268.68
492      268.691
492      268.7021
492      268.7131
492      268.7252
492      268.7367
492      268.747
492      268.7586
492      268.7698
492      268.7804
492      268.7912
492      268.8022
492      268.8141
492      268.8252
492      268.8359
492      268.847
492      268.8581
492      268.8689
492      268.88
492      268.8913
492      268.9024
492      268.9132
492      268.9243
492      268.9359
492      268.947
492      268.9579
492      268.9691
492      268.9799
492      268.991
492      269.0019
492      269.0142
492      269.0237
492      269.036
492      269.0471
492      269.0576
492      269.0686
492      269.0797
492      269.0925
492      269.1023
492      269.1137
492      269.1246
492      269.136
492      269.147
492      269.1584
492      269.1694
492      269.1804
492      269.191
492      269.2021
492      269.2131
492      269.224
492      269.2351
492      269.2462
492      269.2577
492      269.2686
492      269.2797
492      269.2914
492      269.3023
492      269.3134
492      269.3248
492      269.3356
492      269.3467
492      269.3588
492      269.3696
492      269.3809
492      269.3918
492      269.4027
492      269.4143
492      269.4259
492      269.4374
492      269.4481
492      269.459
492      269.4695
492      269.4807
492      269.4918
492      269.5028
492      269.5141
492      269.533
492      269.5432
492      269.5519
492      269.5598
492      269.5705
492      269.581
492      269.5919
492      269.6026
492      269.6157
492      269.6244
492      269.6358
492      269.6465
492      269.6584
492      269.6687
492      269.6805
492      269.6911
492      269.6996
492      269.7109
492      269.7221
492      269.733
492      269.7441
492      269.7552
492      269.7661
492      269.7774
492      269.7889
492      269.7997
492      269.8108
492      269.8219
492      269.8326
492      269.8441
492      269.8562
492      269.8659
492      269.8775
492      269.8889
492      269.8997
492      269.9107
492      269.9224
492      269.933
492      269.9443
492      269.9558
492      269.9677
492      269.9772
492      269.989
492      269.9997
492      270.0108
492      270.022
492      270.0329
492      270.0431
492      270.0541
492      270.0648
492      270.0758
492      270.0867
492      270.0976
492      270.1089
492      270.1193
492      270.1306
492      270.1416
492      270.1523
492      270.1631
492      270.1751
492      270.1853
492      270.2188
492      270.2246
492      270.2306
492      270.2411
492      270.252
492      270.2632
492      270.274
492      270.2851
492      270.2972
492      270.3081
492      270.3186
492      270.329
492      270.3412
492      270.3521
492      270.3631
492      270.374
492      270.3851
492      270.3972
492      270.4081
492      270.4183
492      270.4297
492      270.4408
492      270.4519
492      270.4629
492      270.4751
492      270.486
492      270.4968
492      270.5076
492      270.5185
492      270.5297
492      270.5408
492      270.552
492      270.563
492      270.5741
492      270.5851
492      270.5965
492      270.6077
492      270.6184
492      270.6302
492      270.6406
492      270.6516
492      270.6628
492      270.6748
492      270.686
492      270.6963
492      270.7074
492      270.7298
492      270.7509
492      270.7581
492      270.7661
492      270.7744
492      270.7855
492      270.7964
492      270.8096
492      270.819
492      270.8297
492      270.8407
492      270.8515
492      270.864
492      270.8747
492      270.886
492      270.8965
492      270.9077
492      270.918
492      270.9292
492      270.9397
492      270.952
492      270.9629
492      270.9735
492      270.9839
492      270.9948
492      271.006
492      271.0168
492      271.0279
492      271.0392
492      271.0503
492      271.0615
492      271.0725
492      271.0833
492      271.0943
492      271.1062
492      271.1174
492      271.1283
492      271.1396
492      271.1505
492      271.1611
492      271.1721
492      271.1841
492      271.1951
492      271.2062
492      271.217
492      271.2281
492      271.2395
492      271.2505
492      271.261
492      271.2731
492      271.2839
492      271.2951
492      271.3059
492      271.317
492      271.3283
492      271.3394
492      271.3506
492      271.362
492      271.3727
492      271.3836
492      271.3947
492      271.4059
492      271.4166
492      271.4276
492      271.4395
492      271.4506
492      271.4617
492      271.4727
492      271.4841
492      271.4948
492      271.5059
492      271.5168
492      271.5277
492      271.5388
492      271.5514
492      271.5616
492      271.5727
492      271.5837
492      271.5947
492      271.6059
492      271.6174
492      271.6285
492      271.6387
492      271.6507
492      271.6609
492      271.673
492      271.6839
492      271.6949
492      271.706
492      271.717
492      271.728
492      271.739
492      271.7505
492      271.7616
492      271.7723
492      271.7834
492      271.7943
492      271.8054
492      271.8173
492      271.8283
492      271.8395
492      271.8503
492      271.8624
492      271.873
492      271.8833
492      271.8943
492      271.9062
492      271.9173
492      271.9283
492      271.9396
492      271.9508
492      271.9612
492      271.9726
492      271.9832
492      271.9952
492      272.0061
492      272.0172
492      272.0298
492      272.0394
492      272.0508
492      272.0614
492      272.0723
492      272.0833
492      272.0944
492      272.1066
492      272.1174
492      272.1283
492      272.1393
492      272.1505
492      272.1617
492      272.1726
492      272.184
492      272.1947
492      272.2059
492      272.2166
492      272.2276
492      272.2386
492      272.25
492      272.2625
492      272.2727
492      272.2841
492      272.2951
492      272.3059
492      272.3169
492      272.3278
492      272.3387
492      272.3506
492      272.3613
492      272.3728
492      272.3838
492      272.3948
492      272.4059
492      272.4167
492      272.4278
492      272.4391
492      272.4499
492      272.4614
492      272.473
492      272.4839
492      272.4951
492      272.506
492      272.5171
492      272.528
492      272.5393
492      272.5501
492      272.5614
492      272.572
492      272.5841
492      272.5951
492      272.6061
492      272.6172
492      272.6281
492      272.6396
492      272.6505
492      272.6611
492      272.6721
492      272.6841
492      272.6951
492      272.7061
492      272.7173
492      272.7279
492      272.7393
492      272.7499
492      272.7611
492      272.772
492      272.7833
492      272.7955
492      272.806
492      272.817
492      272.8281
492      272.8393
492      272.8501
492      272.8614
492      272.8726
492      272.8831
492      272.8944
492      272.9055
492      272.9174
492      272.9282
492      272.9395
492      272.9505
492      272.9612
492      272.9724
492      272.9835
492      272.9943
492      273.0056
492      273.0174
492      273.0285
492      273.0393
492      273.05
492      273.061
492      273.0721
492      273.0841
492      273.0951
492      273.1061
492      273.1172
492      273.1281
492      273.1394
492      273.1502
492      273.1611
492      273.1724
492      273.1833
492      273.1953
492      273.2061
492      273.2174
492      273.2296
492      273.2392
492      273.2504
492      273.2612
492      273.2723
492      273.2834
492      273.2942
492      273.3055
492      273.3179
492      273.3282
492      273.3394
492      273.3506
492      273.3614
492      273.3724
492      273.3833
492      273.3943
492      273.4056
492      273.4175
492      273.4284
492      273.4393
492      273.4504
492      273.4613
492      273.4723
492      273.4832
492      273.4944
492      273.5056
492      273.5173
492      273.5282
492      273.5396
492      273.5513
492      273.5611
492      273.5721
492      273.584
492      273.5954
492      273.606
492      273.6172
492      273.6281
492      273.6392
492      273.6503
492      273.6613
492      273.6725
492      273.6833
492      273.6945
492      273.7054
492      273.7174
492      273.7283
492      273.7396
492      273.7512
492      273.7612
492      273.7722
492      273.7832
492      273.7943
492      273.8062
492      273.8173
492      273.8284
492      273.8392
492      273.8503
492      273.8611
492      273.8722
492      273.8832
492      273.8943
492      273.9062
492      273.9172
492      273.9294
492      273.9384
492      273.9499
492      273.9617
492      273.9727
492      273.9838
492      273.9948
492      274.006
492      274.0167
492      274.0278
492      274.0409
492      274.0495
492      274.0613
492      274.0736
492      274.0831
492      274.0966
492      274.1071
492      274.1181
492      274.1312
492      274.1411
492      274.151
492      274.1615
492      274.1753
492      274.185
492      274.1956
492      274.2081
492      274.2182
492      274.2308
492      274.24
492      274.2516
492      274.2614
492      274.275
492      274.2845
492      274.2968
492      274.3069
492      274.3174
492      274.3301
492      274.3406
492      274.3511
492      274.3634
492      274.3722
492      274.3845
492      274.3952
492      274.4061
492      274.4174
492      274.4282
492      274.4415
492      274.4505
492      274.463
492      274.4732
492      274.4843
492      274.5005
492      274.508
492      274.52
492      274.5304
492      274.5413
492      274.5516
492      274.5637
492      274.5728
492      274.5855
492      274.5961
492      274.6054
492      274.619
492      274.6314
492      274.6415
492      274.6518
492      274.6606
492      274.6732
492      274.6857
492      274.6946
492      274.7059
492      274.7169
492      274.728
492      274.7394
492      274.7501
492      274.7609
492      274.7722
492      274.7842
492      274.7949
492      274.8061
492      274.8171
492      274.83
492      274.8402
492      274.8524
492      274.8614
492      274.8737
492      274.8837
492      274.8963
492      274.9069
492      274.9176
492      274.9308
492      274.9402
492      274.9513
492      274.9612
492      274.9744
492      274.9843
492      274.9953
492      275.0054
492      275.0199
492      275.0302
492      275.0395
492      275.0526
492      275.0656
492      275.0734
